iter	Logloss
0	0.6807757877
1	0.6693259663
2	0.6574499103
3	0.6479235811
4	0.6375807328
5	0.6271780811
6	0.6184712613
7	0.6094219316
8	0.6008988711
9	0.592381655
10	0.5834682419
11	0.5758546676
12	0.5683137747
13	0.5616129825
14	0.554718713
15	0.5482552993
16	0.5409281013
17	0.5343886762
18	0.5293969678
19	0.5235946186
20	0.5179195553
21	0.5126808184
22	0.5068270247
23	0.5021190083
24	0.4974074581
25	0.4938852124
26	0.4893082536
27	0.4842926579
28	0.4796029902
29	0.4759515218
30	0.4721846941
31	0.4675787171
32	0.4633338367
33	0.459448082
34	0.4561059258
35	0.4528160976
36	0.4490562017
37	0.4453400709
38	0.4416635598
39	0.4387032275
40	0.4360898904
41	0.4336254159
42	0.4305480594
43	0.427760579
44	0.4251146899
45	0.4225199393
46	0.4202612087
47	0.4176449153
48	0.4149668479
49	0.4124837529
50	0.409959611
51	0.4078313264
52	0.4049380009
53	0.4019850421
54	0.3998310013
55	0.3976506266
56	0.3955395014
57	0.3942486671
58	0.3925085943
59	0.3905906407
60	0.3887481208
61	0.3868127018
62	0.3851157826
63	0.3833109116
64	0.3818475991
65	0.3804064071
66	0.378896781
67	0.3771020697
68	0.3755370916
69	0.374023422
70	0.3723451233
71	0.3704839489
72	0.3687217557
73	0.3674420666
74	0.3659916322
75	0.3647244813
76	0.3630434304
77	0.3617008459
78	0.3603210201
79	0.3590613787
80	0.3580061559
81	0.3567390391
82	0.3552754548
83	0.3539117352
84	0.3524489664
85	0.351303359
86	0.3498065431
87	0.3480982408
88	0.347096875
89	0.3457510964
90	0.3440200621
91	0.3431768353
92	0.3420330628
93	0.340536009
94	0.3395226146
95	0.3384176123
96	0.3368073399
97	0.3356935031
98	0.334342084
99	0.333389784
100	0.3322185904
101	0.3311287428
102	0.3304927209
103	0.3295672306
104	0.3286090183
105	0.3274507707
106	0.3269846445
107	0.3259098158
108	0.325138285
109	0.3241227498
110	0.3230854341
111	0.3221956218
112	0.3214260618
113	0.3207269066
114	0.3200795017
115	0.3190961448
116	0.3179632797
117	0.3172661632
118	0.316263914
119	0.3156604101
120	0.3148735207
121	0.3140684865
122	0.3134087471
123	0.3122877407
124	0.3115463494
125	0.3104234061
126	0.3094931927
127	0.3089140519
128	0.3083705552
129	0.3076838024
130	0.3071231803
131	0.3065094827
132	0.3057441361
133	0.3047762737
134	0.3040526536
135	0.3031538368
136	0.3024318816
137	0.3016288522
138	0.3008526322
139	0.3000958144
140	0.2991538442
141	0.2983569989
142	0.2976167969
143	0.29690738
144	0.2959800548
145	0.2953660853
146	0.2947218065
147	0.2940726347
148	0.2935458558
149	0.2926757514
150	0.2917253883
151	0.2910951429
152	0.2904390733
153	0.2894176258
154	0.2884974022
155	0.2875318843
156	0.2869463894
157	0.286335784
158	0.2853902119
159	0.2851200776
160	0.2847388484
161	0.2839939743
162	0.2833660734
163	0.2828924379
164	0.2817235548
165	0.2811564087
166	0.2805410801
167	0.2799598326
168	0.2794028462
169	0.2789985621
170	0.2785476417
171	0.2779231897
172	0.2770886615
173	0.2764487151
174	0.275597792
175	0.2751076426
176	0.2743722656
177	0.2735034525
178	0.2729387019
179	0.2725054846
180	0.2719551241
181	0.2715941975
182	0.2709496468
183	0.2702395673
184	0.2696692951
185	0.2691740998
186	0.2687526054
187	0.2682368187
188	0.2677160881
189	0.2673578458
190	0.2669190559
191	0.2663300612
192	0.265842885
193	0.2651892279
194	0.264556519
195	0.2639090631
196	0.2633942788
197	0.2627862387
198	0.262441843
199	0.2619466137
200	0.2616425852
201	0.2610937538
202	0.2604000523
203	0.2597137582
204	0.2588831377
205	0.258347762
206	0.2577789339
207	0.2572451043
208	0.2566006216
209	0.2559789049
210	0.2553668213
211	0.254636949
212	0.25415594
213	0.2535022999
214	0.2530192862
215	0.2523858807
216	0.2516432321
217	0.2509571929
218	0.2504752835
219	0.2499957016
220	0.2498047727
221	0.2492567738
222	0.2486796548
223	0.2483634617
224	0.2478577329
225	0.247213675
226	0.2468038183
227	0.2463328672
228	0.2455810443
229	0.2449941053
230	0.2444878668
231	0.2440796072
232	0.2436713136
233	0.2431133418
234	0.2426429683
235	0.2421581537
236	0.2418050083
237	0.2415653703
238	0.2410950477
239	0.2408120013
240	0.2402772373
241	0.2396322619
242	0.2392871866
243	0.238764689
244	0.2383021987
245	0.2378049816
246	0.2372230036
247	0.2366509475
248	0.2362899359
249	0.2357559024
250	0.2353219546
251	0.2348456347
252	0.234132616
253	0.233604461
254	0.2332463376
255	0.2329281908
256	0.2324426456
257	0.2318866955
258	0.2315075561
259	0.2310566187
260	0.2304394212
261	0.2299628805
262	0.2294734277
263	0.2290140464
264	0.2284611885
265	0.2280689331
266	0.2275011583
267	0.2269329419
268	0.2263781471
269	0.2262193116
270	0.2258583849
271	0.2256083323
272	0.2253130874
273	0.2248123705
274	0.2241950031
275	0.2238893436
276	0.2235689371
277	0.2232281941
278	0.2225165006
279	0.2219347434
280	0.2213829219
281	0.2211990267
282	0.220821926
283	0.2205538644
284	0.2202476442
285	0.2199967591
286	0.2196436646
287	0.219111602
288	0.2183075871
289	0.2177806213
290	0.2173733471
291	0.2168938672
292	0.2166193665
293	0.2163832284
294	0.2162259388
295	0.2159813569
296	0.2155382346
297	0.2152447227
298	0.2148800753
299	0.2145324175
300	0.2141104643
301	0.2137009135
302	0.2133450158
303	0.2130173548
304	0.2124530289
305	0.2120276098
306	0.2117807852
307	0.2114986223
308	0.2109492472
309	0.210706653
310	0.2102032858
311	0.2100061727
312	0.2096172302
313	0.2092888896
314	0.2086257183
315	0.2081211448
